CODE;FUNCTION CALL;DESCRIPTION
ts.cmIndex;diagnostic.cm('what' = 'CvM');Cramer von Mises Index
ts.cmpval;diagnostic.cm('what' = 'pval');Cramer von Mises Index p-value
ts.cmksdiff;diagnostic.cm('what' = 'KSdiff');Maximum absolute difference between the distributions
ts.rp;diagnostic.cor('method' = 'pearson');Pearson correlation
ts.rs;diagnostic.cor('method' = 'spearman');Spearman correlation
ts.MAE;diagnostic.mae();Mean Absolute Error
ts.RMSE;diagnostic.rmse();Root Mean Square Error
bias;diagnostic.bias();Pred-Obs
biasRel;diagnostic.bias.rel();(Pred-Obs)/Obs
ratio;diagnostic.ratio();Pred/Obs
ts.rp_deseason;diagnostic.cor('deseason' = 31, 'method' = 'pearson');Pearson correlation computed on the deseasoned series
ts.nDays;diagnostic.nDays();Count of days used to calculate the indices (exluding NaNs)
ts.BSFrost;diagnostic.bs('condition' = 'LT', 'threshold' = 0);Brier score of Frost days (Tmin<0)
ts.BSIce;diagnostic.bs('condition' = 'LT', 'threshold' = 0);Brier score of ice days (Tmax<0)
ts.BSSummer;diagnostic.bs('condition' = 'GT', 'threshold' = 25);Brier score of summer days (Tmax>25)
ts.BSHot;diagnostic.bs('condition' = 'GT', 'threshold' = 30);Brier score of hot days (Tmax>30)
ts.BSTropical;diagnostic.bs('condition' = 'GT', 'threshold' = 20);Brier score of tropical nights (Tmin>20)
ts.cmksdiffWet;diagnostic.cm('what' = 'KSdiff', 'threshold' = 1);Maximum absolute difference between the distributions (for wet days)
ts.cmpvalWet;diagnostic.cm('what' = 'pval', 'threshold' = 1);Cramer von Mises Index p-value (for Wet days)
ts.cmIndexWet;diagnostic.cm('what' = 'CvM', 'threshold' = 1);Cramer von Mises Index (for wet days)
biasCirc;diagnostic.bias.circ();Function to compute the bias considering circular series
ts.rpY;diagnostic.cor('aggregation' = 'annual', 'dates' = TRUE, 'method' = 'pearson');Pearson correlation computed on the yearly-averaged series
ts.ks;diagnostic.ks();Two-sided KS score
ts.rp1Y;diagnostic.corlongterm('detrend' = TRUE, 'timescale' = 1, 'dates' = TRUE, 'method' = 'pearson');Pearson correlation computed in the filtered series (one year)
ts.rp7Y;diagnostic.corlongterm('detrend' = FALSE, 'timescale' = 7, 'dates' = TRUE, 'method' = 'pearson');Pearson correlation computed in the filtered series (seven year)
